region,ra_peak,dec_peak,ra_cen,dec_cen,ra_ctd,dec_ctd,r_circ,r_max,r_cen,r_ctd,npix,background,snr
304,353.60820190269055,-36.087202550892286,353.60819207276637,-36.08725193242566,353.60818344468504,-36.08724981040647,1.791246396432554,1.1661904257935278,0.6615585284640486,0.6610380184236038,63,290.3569190335181,7.584181831991563
305,353.6194758939072,-36.09870336090863,353.6195125630365,-36.09873113958665,353.61951142764923,-36.09872745955283,1.2360774464742068,0.8485281572625477,0.489716239173954,0.4895258673828067,30,489.4659426983428,6.660721802610056
306,353.6086801507767,-36.10414705076495,353.6087004742735,-36.104103492477435,353.60870037916754,-36.10411370782932,2.1170269713604912,1.4422205382055933,0.7259829285029694,0.7250508365927213,88,275.8065483494505,6.337946435956055
307,353.6198881189522,-36.10820337047408,353.6201012879512,-36.10827687915357,353.62008485162903,-36.10827828980327,2.573100393032275,2.408318895502818,1.0018786837138902,1.0007246637158573,130,435.2876588948087,8.533356941354292
309,353.62311997509147,-36.09637006366948,353.62321623091066,-36.0963095692878,353.62321325401524,-36.096312237697816,1.5138795132120961,1.69705629463553,0.6510864147564244,0.6509579495968868,45,389.7883035379515,5.67218452916379
310,353.62270748081687,-36.10831450950986,353.62271793294224,-36.1082625094791,353.62272153872465,-36.108270381157396,2.5231325220201604,1.7888544292517397,0.8714748168745605,0.8709508189753111,125,322.69489538519286,7.387249622553669
311,353.6229825558527,-36.11070339752622,353.6229357938376,-36.110636731031704,353.62293776526985,-36.110638179323985,1.1283791670955126,1.0770329933122567,0.4372557358850374,0.43718705323793705,25,478.14618777279543,11.85687560732371
312,353.61961268696473,-36.118370030326766,353.6195653486812,-36.118382294684224,353.6195705747824,-36.11837582325181,1.9802974013476615,1.199999955349256,0.6413774134976676,0.6407739473678704,77,153.25156648979905,7.807078695540722
313,353.61383850101754,-36.09281419888481,353.61391254418095,-36.0927853580184,353.6138999005993,-36.092792012844384,1.6273715780512878,1.1661903876892625,0.5699247332613552,0.5682318504007021,52,286.2060759551921,6.3480258506940554
314,353.599948462297,-36.100645732145026,353.5999401979029,-36.10069239725002,353.5999397308096,-36.100693383916,1.1283791670955126,0.8246210858834536,0.43975339596000435,0.4397369516365114,25,551.4211329228615,9.0532352078805
315,353.62738234270347,-36.08970329933805,353.62741065188374,-36.08971745939116,353.62739560398904,-36.08971669904729,1.6116478124142792,1.131370869671346,0.5343686141887374,0.5325654341954427,51,168.89183746715457,5.696600100020927
317,353.6117778585361,-36.078869589732626,353.61167070212383,-36.07889899189776,353.6116746122877,-36.07889536966761,1.8609705966725114,1.4142135852537536,0.6359653993698204,0.6357299075085319,68,228.98506587965252,7.6191098518742555
318,353.61211675930485,-36.11520295121996,353.61220778385854,-36.11517191327035,353.6122054659552,-36.11517278549858,1.3159049284959083,1.1999999553554406,0.6073524630778421,0.6073069360015844,34,434.7490413953946,11.019049426679416
319,353.6275891981531,-36.09909217950545,353.6275823205088,-36.09906217978431,353.62758935185616,-36.09906706105929,1.5957691216057308,1.2165525473544276,0.53882610273457,0.538150961389415,50,188.6765341411347,4.560823541190968
322,353.61603729280375,-36.10809211450158,353.6159383912559,-36.108226236127024,353.6159442973617,-36.108218069171414,3.2703535245865036,2.154065887585435,1.0844464010187438,1.0839116676195417,210,228.36438669328658,6.262726692314492
323,353.5995425001066,-36.078090101552284,353.5994202040891,-36.078136861783165,353.5994391998277,-36.07814022518719,2.199615936929358,1.6124515606866823,0.7626212909503818,0.7605194978366031,95,221.61626535563445,8.487181981508561
325,353.6142504737775,-36.09792533884324,353.61424244972085,-36.0979494123552,353.6142378467971,-36.097951074621896,1.7480774889473267,1.0198039277727957,0.6225975286367824,0.6224247767506035,60,373.03441960685717,5.565315966532474
328,353.6289626115794,-36.07814767019447,353.6290215284705,-36.078124578980216,353.62900657580406,-36.07812795601344,1.9802974013476615,1.2806248624589511,0.6494654322605027,0.647892572553547,77,191.00993743835718,7.251798527986635
329,353.6285519153505,-36.10064769041766,353.6285055808169,-36.10068150915525,353.62850810011713,-36.10067696872741,1.5306079714651624,1.0770329603174094,0.5225731550733687,0.5222660493883968,46,242.4241556041426,5.137170696051626
331,353.6125982195537,-36.1147029917948,353.6126220133498,-36.11479380569567,353.6126210592018,-36.11479354474332,1.6273715780512878,1.1313708300152319,0.594824439142685,0.5948172248518842,52,441.4800975374015,11.47897600474427
332,353.60957597523844,-36.09242492815117,353.6095626681741,-36.09242731619649,353.60956781026516,-36.09242419974677,2.176338922689847,1.216552515082841,0.725360100238415,0.7251190559747633,93,223.47778924494165,8.365329399284041
333,353.61817004077005,-36.08920332127369,353.6180865595314,-36.08922415156883,353.61809077950033,-36.08922084999963,1.688803298257901,1.0770329934323113,0.5506496300619931,0.5503844402864161,56,175.63561206616663,6.473777894457886
334,353.6318495607456,-36.077536369337075,353.63177929631155,-36.077546251308796,353.63179139526716,-36.07754896956378,2.1409489393833256,2.408318928685496,0.9361616806935684,0.9354483827467637,90,272.8103708103412,8.321951139702252
335,353.62071344240246,-36.10181449664673,353.6206624277892,-36.10179836683834,353.62066781882123,-36.1018027740923,1.2565098628628437,0.8246211521137762,0.4268903027306308,0.4263070572273979,31,285.92863856917097,4.919860673970073
337,353.59954230545446,-36.078756768067315,353.5995558488983,-36.07868482164974,353.5995671707124,-36.07868342138181,1.7625846048215097,1.4560219741144929,0.6416859118238888,0.6408199911831606,61,238.42109695614286,7.712224993164976
338,353.6083376348856,-36.09698034438391,353.6082431690439,-36.09702394693326,353.6082459910022,-36.097030577265485,2.3344089726237978,2.23606801224675,0.9846098463820856,0.9842862530520006,107,340.83910901714046,7.7525627278068185
339,353.6127355538137,-36.11636966954856,353.61269616654283,-36.11640955237351,353.6126783613841,-36.116393689855364,3.452176435050956,2.5999999523417276,1.3193353306489923,1.3170814470330194,234,277.5427908722167,10.520483143630408
340,353.6004283040236,-36.10586804314792,353.60047399640536,-36.10589358635394,353.60046848967795,-36.105907694794595,2.863505311343852,2.473863348474684,1.1860325228209163,1.1848362549689688,161,320.7756430961285,7.928668314367633
341,353.62298254400594,-36.108814508687885,353.62293932033856,-36.10887323900217,353.6229427143723,-36.10887168560472,1.335116235624909,0.9999999742384441,0.4802761984211943,0.4801421775117074,35,528.704965749407,11.794578897372785
343,353.6262143990397,-36.106258896544645,353.62618760715276,-36.106237252337046,353.6261875533656,-36.10624732898845,1.9802974013476615,1.341640833821597,0.7330542635891553,0.7321561204225326,77,269.9415289132475,6.1483257425225615
