region,ra_peak,dec_peak,ra_cen,dec_cen,ra_ctd,dec_ctd,r_circ,r_max,r_cen,r_ctd,npix,background,snr
319,139.4463599926325,-22.338562098837794,139.44628711610977,-22.338596401789314,139.44629102441417,-22.338595576553892,2.6318098569918167,1.6124515483223973,0.8347521815082106,0.8346454422152386,136,537.8640155566917,15.099749432113592
320,139.45302690565174,-22.339229613686292,139.4529664562301,-22.33938814379906,139.45298940825955,-22.339350352978823,2.890060797537427,2.7202941179900186,1.100476662952891,1.0893572284477708,164,570.4486693588572,17.10073191040166
321,139.44779751685786,-22.363117858513103,139.4478341113164,-22.36306690287398,139.44782046242133,-22.363068947459723,2.6026206750102996,1.8439088511906978,0.9539410521467732,0.9528297368514661,133,1123.7961500304045,26.271014630221693
322,139.48312143915223,-22.370063380702533,139.48318421560498,-22.369994306743564,139.48317551964786,-22.369994720619648,2.377642441290137,1.8439088608683478,0.7889680691350931,0.7884353597293131,111,246.0032962232706,15.217843096616878
323,139.46275682115814,-22.34545258411297,139.46287340038236,-22.345260028372067,139.4628586985911,-22.3452737701864,2.451467040600377,2.340939955657945,0.9086031886038646,0.9059338300772679,118,944.1416550914812,22.21644845710907
324,139.47380946099733,-22.36584161836177,139.473891384038,-22.365956515635997,139.47388956646373,-22.3659546517884,1.4969641274038221,1.7888544182134547,0.6656444040782137,0.6655830793938712,44,1298.2265383758365,21.626676378699454
325,139.4843210325222,-22.350618839104442,139.4842315882124,-22.35067047715043,139.48423618830347,-22.350661240077013,3.0612159429303247,2.3409399488287432,1.0871509033439881,1.0865342641860862,184,541.8866325752094,17.011967844893025
326,139.49050792403173,-22.34967374966379,139.4905521423755,-22.349580814930064,139.4905382707293,-22.349611193592985,2.366908109081279,1.9999999844050746,0.7989747991501539,0.7901058256205208,110,230.29804280168244,16.217256986052767
327,139.44503489014605,-22.358950784788046,139.44516803949878,-22.358800599755497,139.445158074417,-22.35881141749761,2.8723844188903156,2.561249689730416,1.0574585968177705,1.0562203026647823,162,695.0873811326313,19.696322061500865
328,139.466480636434,-22.355230494600537,139.46639277500807,-22.35514508615507,139.4663886105977,-22.355145251772147,1.847236308621676,1.6124515319510389,0.7030695993736681,0.7029326167740284,67,1072.6971019165867,21.780095330017723
329,139.49104807401412,-22.34656257127068,139.49094464182798,-22.346485971438668,139.4909514835106,-22.346478197088896,3.5539465786323827,2.2360679377697763,1.1581287556660833,1.1575663953617912,248,250.79316869537863,15.847550451962205
330,139.4640182865376,-22.343730416471253,139.46398028280692,-22.343800936520704,139.46398274257777,-22.34379597286345,3.532385530828224,2.505992815072414,1.2029038299432742,1.202743212650869,245,847.1475176027643,22.22756153150516
331,139.47765307564177,-22.343230382520748,139.477587228006,-22.343362915551033,139.47759320156123,-22.343345597428947,2.056004690782767,1.9697715844682642,0.789222621874866,0.7865047964046293,83,652.7341441918821,15.821702661227608
332,139.46407772876614,-22.357397085273178,139.46393853074096,-22.357416195684966,139.46395773645474,-22.35741286364097,3.0778080207884333,3.231098850142551,1.1264821279537869,1.1246018684142027,186,816.1870077627391,17.748453792517573
333,139.45482866840266,-22.340452018232014,139.45475320714888,-22.34029911032583,139.4547658404138,-22.340309837184318,2.3989670156554754,3.162277621256166,1.0569870813377793,1.0554434512023645,113,1069.1766906114076,21.331363692817163
334,139.47687343756516,-22.369341525735507,139.47692426670778,-22.369241523732825,139.47691229080218,-22.36923703755171,3.638913473173784,2.668332772434727,1.2061056691193632,1.2053383410490661,260,383.3212935682366,14.337055709737731
335,139.47206724614423,-22.361952756420827,139.47201895271317,-22.3620088571263,139.47202137226628,-22.362008090168185,2.2792141940852035,1.7204650563691168,0.7416884214657249,0.7416395366816518,102,504.4963309838735,13.5192344657668
336,139.45747151904715,-22.340007805396954,139.45737247132655,-22.340078128464786,139.45738495228622,-22.34005248395305,3.09431113115802,2.236067999932063,1.0514845679624718,1.0465990686751032,188,431.97955535775003,17.211358963736654
338,139.4910475725346,-22.343173682700236,139.4911311246633,-22.343061957151058,139.49111790382207,-22.34307811886345,2.164606551922404,1.7204650505229944,0.704274066773545,0.7004847442894797,92,276.1233045671731,10.702188911386214
339,139.44707642860297,-22.364339978813877,139.44716021229092,-22.36429917449579,139.44713724121365,-22.364299727888117,2.7361740666563517,2.441311120599568,0.9773641653282674,0.9743655361433435,147,463.45841295896014,16.95289514328777
340,139.45566774356413,-22.357618762368112,139.45559869091824,-22.35753561173816,139.45561176542432,-22.357551282495443,2.7361740666563517,1.9697715547400394,0.9199697197428964,0.9172059753333189,147,418.43334383444005,11.106593239714773
341,139.45542648338912,-22.366674295481793,139.45549749754457,-22.366522786878967,139.45550510265642,-22.366524585791208,3.086070607523266,2.6832815505033167,1.0425473802546372,1.0422197774520083,187,512.7073465356676,16.25577273628141
342,139.46539976354572,-22.344397131613288,139.46548297596647,-22.34420405585334,139.46547523408012,-22.34423089921134,2.4926710529686016,2.473863334711688,0.9249160405548912,0.9194925961649725,122,658.2454981772322,14.88799369143082
343,139.45788971472444,-22.36500783725634,139.4579015507278,-22.36492033098556,139.45789475439113,-22.364923685869726,3.135188875547286,1.9999999961968484,1.0770761285333943,1.0767707112814244,193,623.9691245603678,19.843239027382374
344,139.4640184066845,-22.341119305495088,139.4640159463602,-22.341187992272936,139.4640168567731,-22.34117755177641,3.3473135487536023,3.026549172752889,1.209098271100232,1.2085101355773795,220,439.8711179426993,13.912446749653808
345,139.4593322490963,-22.355619053312697,139.4592569356847,-22.35545767251491,139.45925643778585,-22.355458362497572,1.791246396432554,1.6124515070690877,0.6947634533647487,0.694757035336602,63,942.8436223836145,22.57844215183045
346,139.46101323619627,-22.370174714201806,139.46122535157562,-22.37019694856322,139.46119916246195,-22.370191563079675,2.573100393032275,2.600000034525948,0.9681749728123452,0.9640464507734152,130,555.8401823236833,17.685316022488166
347,139.46816292444453,-22.33545274964716,139.46818789908892,-22.33554680939807,139.46818808158307,-22.3355334537041,2.2680140565547773,1.9798989972419259,0.8265720144960401,0.8251722190126526,101,785.1122741297977,19.023097801061343
348,139.46642070688839,-22.35034160426408,139.46642548774395,-22.350247538735875,139.4664277354609,-22.350262012956023,2.1170269713604912,1.7088007229451379,0.7086224285769369,0.7066644026600956,88,548.7673783786012,12.997793148385975
349,139.44864203152926,-22.340840197394243,139.44854019486334,-22.34084573931236,139.44855055702638,-22.340836553612714,3.3473135487536023,2.1540659482287805,1.097650213607117,1.0966093000061166,220,407.8456303709101,13.213057389749485
350,139.45669059290478,-22.341007741351255,139.45665215646625,-22.34118041077581,139.45665960505744,-22.34116961449411,2.377642441290137,2.262741709674493,0.9563401962425058,0.955228146664015,111,974.4899871678942,22.424037891821673
351,139.4808365397694,-22.343452432516678,139.48082675783652,-22.343665790114745,139.4808188755375,-22.343652021093572,3.7897416883756914,3.8626416088807143,1.5625736977726863,1.561566740546094,282,754.9218052973991,24.300251084107924
352,139.45801039847694,-22.359007846711613,139.4580856619038,-22.358974550676752,139.45807185561983,-22.358969336122865,4.2340539427209825,4.2426407142486875,1.7169171461417723,1.716199061474261,352,855.3846982893037,21.760017699069795
353,139.4477992044444,-22.352728970497793,139.44767882092748,-22.352735502970834,139.447685729517,-22.352718462251683,3.5395871397938494,2.6076809195438706,1.253280105051854,1.251566426283226,246,483.3716670206528,16.09036980879152
354,139.4838412193133,-22.358229990263563,139.48384873260682,-22.35827512854259,139.48384613153905,-22.358267918438973,1.563528038089344,1.0198039426895826,0.5285075209109836,0.5277987044472575,48,689.7722887884536,15.465624191263982
355,139.4670813373228,-22.35528606361222,139.46709242966767,-22.355183927097944,139.46708645604645,-22.355167585628877,2.573100393032275,2.473863334775746,0.9926241614634883,0.9906797041909852,130,485.0983956344682,18.56671273095583
357,139.461734825405,-22.35945253257734,139.46176105280847,-22.359628779193567,139.46176722327036,-22.359619648391117,2.104964041421698,3.026549229011929,1.0292663393925228,1.0285361763392198,87,728.3317524686713,18.33880334267994
358,139.48083772664344,-22.359341320991568,139.480856634559,-22.359292622948082,139.48085814552803,-22.359293765715734,2.8723844188903156,1.649242220468284,0.9041702741118514,0.9041469203985655,162,397.06258714831773,14.774400936530741
359,139.49567276996723,-22.34422858728781,139.49573803301283,-22.344265614207686,139.4957161771344,-22.344238474478303,2.0310825007719226,1.7204650959198202,0.6566780166234061,0.6452783519996729,81,250.74544767305127,10.06095313631598
360,139.4590919539813,-22.3557857034278,139.45899696615766,-22.35569654951271,139.4589974086219,-22.3556968502876,1.4798554040663838,1.7088007072706253,0.637440347420637,0.6374377255154257,43,1351.984232377114,25.145077523852244
361,139.48239789466825,-22.339507881145305,139.482498006369,-22.33957665683566,139.48247797663282,-22.33955265706218,2.068353178330564,1.897366628792845,0.75056678402431,0.7425883264761693,84,596.1721775317632,15.674871567706669
362,139.46437827035302,-22.35311931895877,139.46442110245323,-22.353117871279046,139.46440067273065,-22.353130766113445,2.420103697319962,1.8110770661894873,0.8853249205842666,0.8814865174363482,115,782.4690212322765,17.837478348211068
363,139.4541068934817,-22.349063058129104,139.45406450250485,-22.349111153932757,139.4540780639426,-22.3491208808918,3.429975713230766,2.5612497093465953,1.163462837547055,1.1620588206167024,231,346.2571313553316,13.137883741476294
364,139.45008060638727,-22.36111815995121,139.44991214665126,-22.36117455348268,139.44991867054608,-22.361151484553524,3.143300632638384,2.8844409778463103,1.2625135853775293,1.2595919182917903,194,459.5605460136367,17.70687664251013
365,139.4554886737359,-22.346952079678772,139.45557317453478,-22.34694973336698,139.455569886255,-22.346947279230307,2.451467040600377,2.262741741248872,1.1160403683077686,1.1159516892694568,118,1244.9697524276487,23.40418864958974
366,139.4707456421417,-22.36400831985948,139.47068667252805,-22.364054684351157,139.4706972462048,-22.364050232832117,3.721941193345023,3.605551266524443,1.4893821431097427,1.4888798341920153,272,703.8750072165548,15.967166745608349
367,139.47422996336522,-22.365063831341427,139.47426477405983,-22.36510692503019,139.47426586645062,-22.36510167654548,2.3344089726237978,1.6970563162832513,0.841030217118944,0.8408100832085896,107,829.3287753009973,18.98042703130383
368,139.46882359029803,-22.336563868489627,139.4688623911139,-22.336866615414607,139.46884631618232,-22.33682045664757,4.258043108873925,3.6221540888833013,1.5471297638821144,1.5372482937415235,356,781.1792986343324,19.561657556355176
369,139.46257610645353,-22.354619242030214,139.46251057458466,-22.35463704854306,139.46251023928892,-22.354626977912698,3.2625576767294038,2.332380795774307,1.1110547392809706,1.110462523174422,209,456.44744356442493,16.18037280306886
370,139.4714664789633,-22.357119428059782,139.47146258170665,-22.35701642509182,139.47145789634592,-22.357029337966402,3.0695231927842155,2.607680961440325,1.0045582457110307,1.0033608258265088,185,376.4702025063759,10.914140614006516
371,139.46077329922647,-22.364841367141082,139.46085140413138,-22.364721763926237,139.46084427380228,-22.364729221104824,2.942452872043851,2.9999999843936305,1.154250474572313,1.1536940447366362,170,872.2029125343103,18.36408907816187
372,139.45716965169277,-22.356285558266208,139.4571687965686,-22.356253812175556,139.45716580653442,-22.35626295118794,1.8881394877652593,1.2165524666095677,0.6419288003842276,0.6410078332623121,70,791.8377650967465,17.822803511703224
373,139.4829990402629,-22.345174502195434,139.4830590993599,-22.34509954165648,139.48303029994196,-22.34510966250609,1.791246396432554,1.5620499290219683,0.6280171950609257,0.6195826437027273,63,299.5418971328745,13.976284954503015
374,139.47374912145068,-22.354730508648995,139.47362898304957,-22.35480044570352,139.47363412642048,-22.354810009261943,2.942452872043851,2.6683327829545176,1.0833567074212445,1.0826740789791411,170,501.1211796428702,14.373315661358374
375,139.4839013875226,-22.359229985272908,139.4839663902383,-22.359161486744103,139.48395707365233,-22.359171735862564,1.9281751659604673,1.523154596613856,0.6676415171944626,0.6658991640108111,73,361.47186675127404,13.054999734252476
376,139.45026085682113,-22.360895960165383,139.45032300906752,-22.36083977373909,139.45030528704865,-22.360846065377142,2.104964041421698,1.4422204923846316,0.7424757467295717,0.7397810380395106,87,639.1189523813515,17.296280709121476
377,139.46539947071847,-22.352508242585852,139.46533461172876,-22.35248540486114,139.4653432238521,-22.352487677585547,2.881236163814633,1.843908861838364,0.9700268099064857,0.9695683920542119,163,672.8295852184916,17.077899624290175
378,139.49675539693493,-22.35189508195318,139.4967828488457,-22.351852220385034,139.49678459049062,-22.351854734140417,1.335116235624909,0.8246211379518859,0.41096455263397474,0.41082398078256754,35,199.8763520375529,5.380212116379023
379,139.4718267926488,-22.345897203216534,139.4718135872184,-22.345958275047884,139.4718193338091,-22.345958784523358,2.6797520467958074,1.7088007908553935,0.9215753812689838,0.9213748978781805,141,701.4284759719785,18.785315391033198
381,139.47471037811482,-22.359174930649104,139.47467695051137,-22.359158802502254,139.4746984584205,-22.35917899334596,2.5130197257256874,2.1540658974703324,0.9406504598973688,0.9351001505396541,124,427.98378513326594,13.052492569738973
382,139.45831033726878,-22.36384120249323,139.45832927810193,-22.36390530647336,139.45832529478463,-22.36389702020934,2.573100393032275,2.0396078453712856,1.0040943444372414,1.003563513982736,130,985.4809325393669,19.915794267160706
383,139.47098598032142,-22.374563874048786,139.47104871467963,-22.374650736928007,139.47103164754006,-22.37463166994912,3.0361578193306387,2.3409400239349263,1.0115871701560892,1.00765516671838,181,404.05036062970447,14.239966768172408
384,139.48438031641234,-22.342785501031695,139.48435098087154,-22.342769999675596,139.48434040616988,-22.34276704564672,1.4798554040663838,0.9999999777533054,0.5305831290385844,0.5293066721260383,43,847.5992608017716,21.011034530831623
385,139.4804759566392,-22.340785788636264,139.48051906697881,-22.34086291016071,139.4805150879158,-22.340861480216184,2.0806283791440396,1.8000000362224229,0.8340115000096658,0.8338903618431195,85,1312.5777354739173,23.027406004546844
386,139.45494620941858,-22.363729806250355,139.45484170492784,-22.363738476844905,139.45484311768956,-22.36373817688772,2.2111625566165474,2.0000000039008756,0.8486835221985853,0.8486698019156291,96,909.6886977753951,23.86375369503286
387,139.48017564055687,-22.34084136242482,139.48020725320444,-22.34084136054127,139.4802072428108,-22.340839747779924,0.983698151873187,0.5656854664473978,0.3485301247850035,0.34848176097394556,19,1604.571238355103,25.152558111077788
388,139.46383790413734,-22.347674853602996,139.46374511617276,-22.347708273499478,139.46375853980234,-22.347705014958763,2.502866069148927,1.7088007409326929,0.8361793398538455,0.8349015432119489,123,623.7402655591633,17.12266141507173
389,139.4736285885597,-22.337619400466867,139.47347937197034,-22.337687979720144,139.47348505959874,-22.337686305684052,1.8054066673528202,1.5231546149716793,0.62616599279569,0.6258504984343612,64,633.6838104472062,16.75942724091122
